"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.513245000E0,-4.383277506E-2,-9.565460086E-2,-1.584034109E-1,1.901650741E-1
2.523175000E0,-4.785785213E-2,-7.715050220E-2,-1.701855505E-1,1.928877798E-1
2.533106000E0,-8.143051788E-2,-6.965320230E-2,-1.181324673E-1,1.594922495E-1
2.543036000E0,-8.508298114E-2,-1.131833839E-1,-5.424520433E-2,1.516315741E-1
2.552966000E0,-7.872925043E-2,-9.099670887E-2,1.250953317E-2,1.209759659E-1
2.562896000E0,-3.184919894E-2,-7.923795819E-2,5.488313556E-2,1.015144525E-1
2.572827000E0,3.458880220E-2,-6.692430675E-2,4.278056860E-2,8.663385667E-2
2.582757000E0,7.396420822E-2,-5.923346400E-2,1.115882635E-2,9.541397571E-2
2.592687000E0,5.913026065E-2,-7.230432987E-2,-3.089668751E-2,9.838144714E-2
2.602617000E0,-2.923256993E-2,-7.228971183E-2,-5.976322174E-2,9.824453295E-2
2.612548000E0,-9.628054529E-2,-7.364977419E-2,-7.760424614E-2,1.439328026E-1
2.622478000E0,-1.165108882E-1,-7.988407552E-2,-6.528123915E-2,1.556209908E-1
2.632408000E0,-8.682559758E-2,-6.915209591E-2,-4.854943156E-2,1.211517399E-1
2.642339000E0,-1.564524874E-2,-5.931123197E-2,-6.016726434E-2,8.592261486E-2
2.652269000E0,-3.145655841E-3,-4.928676546E-2,-9.421150804E-2,1.063714654E-1
2.662199000E0,-5.976439118E-3,-3.381912589E-2,-8.240071714E-2,8.927109995E-2
2.672129000E0,-2.178584844E-2,2.044245064E-2,-4.552525163E-2,5.445241515E-2
2.682060000E0,-7.172454190E-2,4.924525023E-3,2.406772435E-2,7.581501310E-2
2.691990000E0,-1.124522993E-1,4.454993606E-3,7.126294076E-2,1.332057555E-1
2.701920000E0,-1.297178480E-1,3.206730008E-2,8.948228002E-2,1.608170086E-1
2.711850000E0,-9.047290798E-2,3.983474135E-2,7.124422967E-2,1.218519346E-1
2.721781000E0,-7.577377528E-2,-2.245330811E-4,5.897735596E-2,9.602105993E-2
2.731711000E0,-1.215530153E-2,-2.384202182E-2,4.696074307E-2,5.405094587E-2
2.741641000E0,4.831802800E-2,-3.091305971E-2,9.203517437E-4,5.736807595E-2
2.751571000E0,4.638333052E-2,-4.569365144E-2,-1.702650726E-2,6.729951769E-2
2.761502000E0,3.316920787E-2,-5.326579571E-2,-1.532789111E-2,6.459400583E-2
2.771432000E0,1.002095819E-2,-2.300820887E-2,-1.055773258E-2,2.722614544E-2
2.781362000E0,-1.838203803E-2,1.064719498E-2,2.669195473E-2,3.411337759E-2
2.791292000E0,-6.460398540E-2,1.108339727E-2,4.122930229E-2,7.743624469E-2
2.801223000E0,-7.123940572E-2,-6.082273722E-3,3.046867132E-2,7.771992610E-2
2.811153000E0,-4.629606083E-2,4.597665668E-3,4.507033825E-3,4.674159959E-2
2.821083000E0,-5.943709329E-2,-3.788060188E-2,-1.663649797E-2,7.241878984E-2
2.831013000E0,-5.204343528E-2,-3.709239721E-2,-4.687011123E-2,7.925384794E-2
2.840944000E0,-6.072698906E-2,-2.197383642E-3,-6.160977244E-2,8.653530930E-2
2.850874000E0,-1.133488236E-1,-1.127343178E-3,-8.172945678E-2,1.397459510E-1
2.860804000E0,-1.584685708E-1,1.331937253E-2,-1.163438040E-1,1.970420624E-1
2.870734000E0,-1.360188076E-1,2.216796398E-2,-1.371610612E-1,1.944368570E-1
2.880665000E0,-1.388810197E-1,1.946128786E-2,-1.395145655E-1,1.978155538E-1
2.890595000E0,-8.824764043E-2,1.387778163E-2,-8.349356174E-2,1.222759736E-1
2.900525000E0,-1.390434992E-2,1.112666667E-2,-1.618450820E-2,2.406391413E-2
2.910455000E0,1.190025330E-2,-7.284461260E-3,1.558282971E-3,1.403950320E-2
2.920386000E0,2.997458160E-2,-2.609144568E-2,3.145802021E-4,3.974088626E-2
2.930316000E0,4.675155893E-2,-7.703823566E-2,1.407541752E-2,9.120699203E-2
2.940246000E0,3.737540245E-2,-5.558947921E-2,-5.912119746E-2,8.934442846E-2
2.950176000E0,-1.377691716E-2,-4.026509643E-2,-1.032553965E-1,1.116815040E-1
